,Device,MAC,isIoT
0,smartthings,d0:52:a8:00:67:5e,1
1,amazonecho,44:65:0d:56:cc:d3,1
2,netatmowelcome,70:ee:50:18:34:43,1
3,tp-linkdaynightcloudcamera,f4:f2:6d:93:51:f1,1
4,samsungsmartcam,00:16:6c:ab:6b:88,1
5,dropcam,30:8c:fb:2f:e4:b2,1
6,insteoncamera,e8:ab:fa:19:de:4f,1
7,withingssmartbabymonitor,00:24:e4:11:18:a8,1
8,belkinwemoswitch,ec:1a:59:79:f4:89,1
9,tp-linksmartplug,50:c7:bf:00:56:39,1
10,ihome,74:c6:3b:29:d7:1d,1
11,belkinwemomotionsensor,ec:1a:59:83:28:11,1
12,nestprotectsmokealarm,18:b4:30:25:be:e4,1
13,netatmoweatherstation,70:ee:50:03:b8:ac,1
14,withingssmartscale,00:24:e4:1b:6f:96,1
15,blipcarebloodpressuremeter,74:6a:89:00:2e:25,1
16,withingsaurasmartsleepsensor,00:24:e4:20:28:c6,1
17,lightbulbslifxsmartbulb,d0:73:d5:01:83:08,1
18,tribyspeaker,18:b7:9e:02:20:44,1
19,pix-starphoto-frame,e0:76:d0:33:bb:85,1
20,hpprinter,70:5a:0f:e4:9b:c0,1
